Dataset,DM method,n_sample,n_cluster,Intrinsic Dim (reconstructed)
blobs_dim3_n1500_y5,DBM_orig_torch,1500,5,2.0
blobs_dim3_n1500_y5,DeepView,1500,5,2.8
blobs_dim3_n1500_y5,SSNP,1500,5,2.0
blobs_dim3_n1500_y5,SSNP_3,1500,5,2.4
blobs_dim3_n1500_y5,SSNP_10,1500,5,2.2
blobs_dim3_n1500_y5,SSNP_30,1500,5,2.2
blobs_dim10_n1500_y5,DBM_orig_torch,1500,5,2.0
blobs_dim10_n1500_y5,DeepView,1500,5,6.8
blobs_dim10_n1500_y5,SSNP,1500,5,2.0
blobs_dim10_n1500_y5,SSNP_3,1500,5,2.4
blobs_dim10_n1500_y5,SSNP_10,1500,5,3.0
blobs_dim10_n1500_y5,SSNP_30,1500,5,2.6
blobs_dim30_n1500_y5,DBM_orig_torch,1500,5,1.8
blobs_dim30_n1500_y5,DeepView,1500,5,13.8
blobs_dim30_n1500_y5,SSNP,1500,5,2.0
blobs_dim30_n1500_y5,SSNP_3,1500,5,2.6
blobs_dim30_n1500_y5,SSNP_10,1500,5,2.6
blobs_dim30_n1500_y5,SSNP_30,1500,5,2.6
blobs_dim100_n1500_y5,DBM_orig_torch,1500,5,2.0
blobs_dim100_n1500_y5,DeepView,1500,5,16.0
blobs_dim100_n1500_y5,SSNP,1500,5,2.0
blobs_dim100_n1500_y5,SSNP_3,1500,5,2.4
blobs_dim100_n1500_y5,SSNP_10,1500,5,3.0
blobs_dim100_n1500_y5,SSNP_30,1500,5,4.0
blobs_dim300_n1500_y5,DBM_orig_torch,1500,5,2.0
blobs_dim300_n1500_y5,DeepView,1500,5,20.0
blobs_dim300_n1500_y5,SSNP,1500,5,1.6
blobs_dim300_n1500_y5,SSNP_3,1500,5,2.2
blobs_dim300_n1500_y5,SSNP_10,1500,5,3.0
blobs_dim300_n1500_y5,SSNP_30,1500,5,3.0
blobs_dim3_n1000_y2,DBM_orig_torch,1000,2,2.5
blobs_dim3_n1000_y2,DeepView,1000,2,3.0
blobs_dim3_n1000_y2,SSNP,1000,2,2.0
blobs_dim3_n1000_y2,SSNP_3,1000,2,1.5
blobs_dim3_n1000_y2,SSNP_10,1000,2,2.0
blobs_dim3_n1000_y2,SSNP_30,1000,2,2.0
blobs_dim10_n1000_y2,DBM_orig_torch,1000,2,5.0
blobs_dim10_n1000_y2,DeepView,1000,2,8.0
blobs_dim10_n1000_y2,SSNP,1000,2,1.5
blobs_dim10_n1000_y2,SSNP_3,1000,2,1.0
blobs_dim10_n1000_y2,SSNP_10,1000,2,2.0
blobs_dim10_n1000_y2,SSNP_30,1000,2,1.5
blobs_dim30_n1000_y2,DBM_orig_torch,1000,2,8.0
blobs_dim30_n1000_y2,DeepView,1000,2,20.0
blobs_dim30_n1000_y2,SSNP,1000,2,1.0
blobs_dim30_n1000_y2,SSNP_3,1000,2,1.0
blobs_dim30_n1000_y2,SSNP_10,1000,2,1.5
blobs_dim30_n1000_y2,SSNP_30,1000,2,1.0
blobs_dim100_n1000_y2,DBM_orig_torch,1000,2,4.5
blobs_dim100_n1000_y2,DeepView,1000,2,50.0
blobs_dim100_n1000_y2,SSNP,1000,2,1.0
blobs_dim100_n1000_y2,SSNP_3,1000,2,1.0
blobs_dim100_n1000_y2,SSNP_10,1000,2,1.0
blobs_dim100_n1000_y2,SSNP_30,1000,2,1.0
blobs_dim300_n1000_y2,DBM_orig_torch,1000,2,2.0
blobs_dim300_n1000_y2,DeepView,1000,2,76.5
blobs_dim300_n1000_y2,SSNP,1000,2,1.0
blobs_dim300_n1000_y2,SSNP_3,1000,2,1.0
blobs_dim300_n1000_y2,SSNP_10,1000,2,1.0
blobs_dim300_n1000_y2,SSNP_30,1000,2,1.0
